statid;timeobs (UTC);vandtemperatur (°C);label
20303;2009020604;2.5;1100
20303;2009020605;2.5;1100
20303;2009020606;2.6;1100
20303;2009020607;2.5;1100
20303;2009020608;2.5;1100
20303;2009020609;2.6;1100
20303;2009020610;2.5;1100
20303;2009020611;2.6;1100
20303;2009020612;2.6;1100
20303;2009020613;2.6;1100
20303;2009020614;2.6;1100
20303;2009020615;2.6;1100
20303;2009020616;2.6;1100
20303;2009020617;2.6;1100
20303;2009020618;2.6;1100
20303;2009020619;2.6;1100
20303;2009020620;2.6;1100
20303;2009020621;2.6;1100
20303;2009020622;2.6;1100
20303;2009020623;2.6;1100
20303;2009020700;2.7;1100
20303;2009020701;2.7;1100
20303;2009020702;2.7;1100
20303;2009020703;2.7;1100
20303;2009020704;2.6;1100
20303;2009020705;2.7;1100
20303;2009020706;2.7;1100
20303;2009020707;2.7;1100
20303;2009020708;2.7;1100
20303;2009020709;2.7;1100
20303;2009020710;2.7;1100
20303;2009020711;2.7;1100
20303;2009020712;2.7;1100
20303;2009020713;2.7;1100
20303;2009020714;2.7;1100
20303;2009020715;2.7;1100
20303;2009020716;2.7;1100
20303;2009020717;2.7;1100
20303;2009020718;2.7;1100
20303;2009020719;2.7;1100
20303;2009020720;2.7;1100
20303;2009020721;2.7;1100
20303;2009020722;2.7;1100
20303;2009020723;2.7;1100
20303;2009020800;2.6;1100
20303;2009020801;2.6;1100
20303;2009020802;2.7;1100
20303;2009020803;2.7;1100
20303;2009020804;2.7;1100
20303;2009020805;2.7;1100
20303;2009020806;2.7;1100
20303;2009020807;2.7;1100
20303;2009020808;2.7;1100
20303;2009020809;2.7;1100
20303;2009020810;2.7;1100
20303;2009020811;2.7;1100
20303;2009020812;2.7;1100
20303;2009020813;2.7;1100
20303;2009020814;2.7;1100
20303;2009020815;2.7;1100
20303;2009020816;2.6;1100
