statid;timeobs;radiation_mean(W/m^2);label
618800;2009021219;0;1100
618800;2009021220;0;1100
618800;2009021221;0;1100
618800;2009021222;0;1100
618800;2009021223;0;1100
618800;2009021300;0;1100
618800;2009021301;0;1100
618800;2009021302;0;1100
618800;2009021303;0;1100
618800;2009021304;0;1100
618800;2009021305;0;1100
618800;2009021306;1;1100
618800;2009021307;5;1100
618800;2009021308;69;1100
618800;2009021309;183;1100
618800;2009021310;277;1100
618800;2009021311;339;1100
618800;2009021312;357;1100
618800;2009021313;332;1100
618800;2009021314;265;1100
618800;2009021315;165;1100
618800;2009021316;58;1100
618800;2009021317;2;1100
618800;2009021318;0;1100
618800;2009021319;0;1100
618800;2009021320;0;1100
618800;2009021321;0;1100
618800;2009021322;0;1100
618800;2009021323;0;1100
618800;2009021400;0;1100
618800;2009021401;0;1100
618800;2009021402;0;1100
618800;2009021403;0;1100
618800;2009021404;0;1100
618800;2009021405;0;1100
618800;2009021406;0;1100
618800;2009021407;5;1100
618800;2009021408;72;1100
618800;2009021409;190;1100
