statid;timeobs (UTC);vindretning (°);label
0° is quiet, 360° is wind from north, 90° is wind from east etc.
612300;2009012501;242;1100
612300;2009012502;239;1100
612300;2009012503;241;1100
612300;2009012504;231;1100
612300;2009012505;225;1100
612300;2009012506;237;1100
612300;2009012507;243;1100
612300;2009012508;232;1100
612300;2009012509;218;1100
612300;2009012510;214;1100
612300;2009012511;208;1100
612300;2009012512;206;1100
612300;2009012513;188;1100
612300;2009012514;191;1100
612300;2009012515;182;1100
612300;2009012516;169;1100
612300;2009012517;152;1100
612300;2009012518;151;1100
612300;2009012519;128;1100
612300;2009012520;119;1100
612300;2009012521;136;1100
612300;2009012522;149;1100
612300;2009012523;145;1100
612300;2009012600;134;1100
612300;2009012601;136;1100
612300;2009012602;127;1100
612300;2009012603;118;1100
612300;2009012604;114;1100
612300;2009012605;112;1100
612300;2009012606;110;1100
612300;2009012607;125;1100
612300;2009012608;110;1100
612300;2009012609;127;1100
612300;2009012610;126;1100
612300;2009012611;111;1100
612300;2009012612;133;1100
612300;2009012613;137;1100
612300;2009012614;108;1100
612300;2009012615;108;1100
612300;2009012616;112;1100
612300;2009012617;116;1100
612300;2009012618;119;1100
612300;2009012619;94;1100
612300;2009012620;100;1100
612300;2009012621;113;1100
612300;2009012622;112;1100
612300;2009012623;110;1100
612300;2009012700;104;1100
612300;2009012701;115;1100
612300;2009012702;126;1100
612300;2009012703;108;1100
612300;2009012704;109;1100
612300;2009012705;105;1100
612300;2009012706;111;1100
612300;2009012707;123;1100
612300;2009012708;116;1100
612300;2009012709;123;1100
612300;2009012710;137;1100
612300;2009012711;165;1100
612300;2009012712;182;1100
612300;2009012713;177;1100
612300;2009012714;188;1100
612300;2009012715;190;1100
612300;2009012716;156;1100
612300;2009012717;163;1100
612300;2009012718;167;1100
612300;2009012719;185;1100
612300;2009012720;202;1100
612300;2009012721;194;1100
612300;2009012722;197;1100
612300;2009012723;226;1100
612300;2009012800;231;1100
612300;2009012801;200;1100
612300;2009012802;189;1100
612300;2009012803;198;1100
612300;2009012804;208;1100
612300;2009012805;178;1100
612300;2009012806;178;1100
612300;2009012807;186;1100
612300;2009012808;183;1100
612300;2009012809;191;1100
612300;2009012810;177;1100
612300;2009012811;185;1100
612300;2009012812;186;1100
612300;2009012813;189;1100
612300;2009012814;163;1100
612300;2009012815;161;1100
612300;2009012816;169;1100
612300;2009012817;148;1100
612300;2009012818;148;1100
612300;2009012819;148;1100
612300;2009012820;154;1100
612300;2009012821;144;1100
612300;2009012822;146;1100
612300;2009012823;135;1100
612300;2009012900;128;1100
612300;2009012901;137;1100
612300;2009012902;135;1100
612300;2009012903;137;1100
612300;2009012904;138;1100
612300;2009012905;141;1100
612300;2009012906;160;1100
612300;2009012907;160;1100
612300;2009012908;163;1100
612300;2009012909;166;1100
612300;2009012910;179;1100
612300;2009012911;176;1100
612300;2009012912;151;1100
612300;2009012913;140;1100
612300;2009012914;133;1100
612300;2009012915;143;1100
612300;2009012916;128;1100
612300;2009012917;114;1100
612300;2009012918;122;1100
612300;2009012919;140;1100
612300;2009012920;115;1100
612300;2009012921;133;1100
612300;2009012922;116;1100
612300;2009012923;114;1100
612300;2009013000;139;1100
612300;2009013001;134;1100
612300;2009013002;125;1100
612300;2009013003;123;1100
612300;2009013004;117;1100
612300;2009013005;97;1100
612300;2009013006;116;1100
612300;2009013007;137;1100
612300;2009013008;144;1100
612300;2009013009;145;1100
612300;2009013010;137;1100
612300;2009013011;131;1100
612300;2009013012;138;1100
612300;2009013013;146;1100
612300;2009013014;149;1100
612300;2009013015;144;1100
612300;2009013016;150;1100
612300;2009013017;137;1100
612300;2009013018;116;1100
612300;2009013019;82;1100
612300;2009013020;80;1100
612300;2009013021;95;1100
612300;2009013022;98;1100
612300;2009013023;106;1100
612300;2009013100;113;1100
612300;2009013101;106;1100
612300;2009013102;107;1100
612300;2009013103;84;1100
612300;2009013104;65;1100
612300;2009013105;67;1100
612300;2009013106;70;1100
612300;2009013107;68;1100
612300;2009013108;65;1100
612300;2009013109;71;1100
612300;2009013110;73;1100
612300;2009013111;76;1100
612300;2009013112;82;1100
612300;2009013113;72;1100
612300;2009013114;68;1100
612300;2009013115;66;1100
612300;2009013116;69;1100
612300;2009013117;61;1100
612300;2009013118;58;1100
612300;2009013119;58;1100
612300;2009013120;50;1100
612300;2009013121;57;1100
612300;2009013122;62;1100
612300;2009013123;70;1100
612300;2009020100;61.9;1000
612300;2009020101;69;1100
612300;2009020102;79;1100
612300;2009020103;79;1100
612300;2009020104;69;1100
612300;2009020105;76;1100
612300;2009020106;71.6;1000
612300;2009020107;78;1100
612300;2009020108;77;1100
612300;2009020109;76;1100
612300;2009020110;70;1100
612300;2009020111;71;1100
612300;2009020112;72;1100
